Region,2009,2010,2011,2012,2013,2014,2015
Poland (M),9718,9450,10192,10516,10319,14147,16200
Poland (F),11168,10780,11536,11545,11244,16363,19027
Lower Silesia (M),1085,929,897,858,932,1146,1342
Lower Silesia (F),1162,1043,1022,1065,1058,1409,1651
Kujawy-Pomerania (M),1165,1205,1108,1129,1077,1438,1498
Kujawy-Pomerania (F),1366,1365,1364,1292,1384,1672,1990
Lublin (M),580,479,608,623,499,716,876
Lublin (F),629,588,650,659,536,758,1018
Lubusz (M),138,140,86,71,87,137,178
Lubusz (F),152,138,105,80,96,168,184
Lodz (M),637,570,597,565,515,745,943
Lodz (F),739,760,738,749,657,1079,1247
Lesser Poland (M),1121,906,1053,1026,1104,1400,1703
Lesser Poland (F),1239,1025,1101,1122,1156,1625,1814
Masovia (M),1356,1459,1893,2209,2108,2864,3254
Masovia (F),1498,1709,1985,2185,2182,3115,3476
Opole (M),121,123,139,153,147,279,300
Opole (F),143,148,174,171,148,364,393
Podkarpackie (M),414,394,461,530,623,797,851
Podkarpackie (F),484,450,504,519,507,823,948
Podlaskie (M),394,342,389,400,352,453,464
Podlaskie (F),477,393,477,486,428,528,540
Pomerania (M),464,482,543,380,406,660,792
Pomerania (F),592,557,565,438,432,809,1049
Silesia (M),1038,1055,1081,1020,988,1438,1769
Silesia (F),1221,1149,1400,1151,1159,1695,2154
Swietokrzyskie (M),214,204,219,288,281,431,541
Swietokrzyskie (F),249,230,240,282,307,571,652
Warmia-Masuria (M),199,201,174,196,170,369,308
Warmia-Masuria (F),196,218,239,232,224,402,373
Greater Poland (M),558,607,588,663,668,822,821
Greater Poland (F),657,658,621,689,634,891,941
West Pomerania (M),234,354,356,405,362,452,560
West Pomerania (F),364,349,351,425,336,454,597